"Recipe Name";"Type of Dish";"Main Ingredient";"Cuisine";"Cooking Method";"Prep Time";"Cook Time";"Instructions"
"Beef Chili";"Main Course";"Beef";"American";"Simmering";"15 minutes";"45 minutes";"Cook ground beef with onions, tomatoes, and chili spices. Simmer until thickened. Serve with cornbread or rice."
"Garlic Butter Shrimp";"Appetizer";"Shrimp";"American";"Sautéing";"10 minutes";"10 minutes";"Sauté shrimp in garlic butter until pink and cooked through. Serve with lemon wedges and chopped parsley."
"Chicken Tortilla Soup";"Appetizer";"Chicken";"Mexican";"Simmering";"10 minutes";"30 minutes";"Cook chicken with tomatoes, beans, and spices. Top with tortilla strips and garnish with cilantro and lime."
"Potato Gratin";"Side Dish";"Potatoes";"French";"Baking";"20 minutes";"50 minutes";"Layer thinly sliced potatoes with cream, cheese, and garlic. Bake until tender and golden brown on top."
"Chicken Caesar Salad";"Appetizer";"Chicken";"American";"Assembling";"10 minutes";"0 minutes";"Toss romaine lettuce with Caesar dressing, croutons, and grilled chicken. Top with Parmesan cheese."
"Blueberry Muffins";"Dessert";"Blueberries";"American";"Baking";"15 minutes";"25 minutes";"Mix flour, sugar, and baking powder with milk, eggs, and blueberries. Bake in muffin tins until golden brown."
"Vegetable Stir-Fry";"Main Course";"Vegetables";"Chinese";"Stir-Frying";"10 minutes";"10 minutes";"Stir-fry a mix of vegetables (bell peppers, carrots, snow peas) in a hot pan with soy sauce and garlic. Serve over rice or noodles."
"Spicy Tuna Sushi Rolls";"Appetizer";"Tuna";"Japanese";"Rolling";"30 minutes";"30 minutes";"Mix tuna with spicy mayo and roll with sushi rice and nori. Slice into bite-sized pieces and serve with soy sauce and pickled ginger."
"Chicken Pot Pie";"Main Course";"Chicken";"American";"Baking";"20 minutes";"40 minutes";"Fill a pie crust with a mixture of chicken, vegetables, and gravy. Bake until crust is golden and filling is bubbly."
"Sweet Potato Fries";"Side Dish";"Sweet Potatoes";"American";"Baking";"10 minutes";"30 minutes";"Cut sweet potatoes into fries and toss with olive oil and seasonings. Bake until crispy and golden."
"Vegetable Lasagna";"Main Course";"Vegetables";"Italian";"Baking";"30 minutes";"50 minutes";"Layer lasagna noodles with a mixture of ricotta cheese, spinach, and marinara sauce. Top with mozzarella cheese and bake until bubbly."
"Vegetarian Chili";"Main Course";"Beans";"American";"Simmering";"15 minutes";"30 minutes";"Cook a mix of beans with tomatoes, bell peppers, onions, and chili spices. Simmer until flavors are blended. Serve with cornbread."
"Beef Tacos";"Main Course";"Beef";"Mexican";"Grilling";"15 minutes";"10 minutes";"Grill seasoned ground beef and serve in tortillas with salsa, cheese, and lettuce. Garnish with cilantro."
"Chicken Tortilla Soup";"Appetizer";"Chicken";"Mexican";"Simmering";"10 minutes";"30 minutes";"Cook chicken with tomatoes, beans, and spices. Top with tortilla strips and garnish with cilantro and lime."
"Vegetable Stir-Fry";"Main Course";"Vegetables";"Chinese";"Stir-Frying";"10 minutes";"10 minutes";"Stir-fry a mix of vegetables (bell peppers, carrots, snow peas) in a hot pan with soy sauce and garlic. Serve over rice or noodles."
"Chicken Caesar Salad";"Appetizer";"Chicken";"American";"Assembling";"10 minutes";"0 minutes";"Toss romaine lettuce with Caesar dressing, croutons, and grilled chicken. Top with Parmesan cheese."
"Chocolate Cake";"Dessert";"Chocolate";"American";"Baking";"20 minutes";"30 minutes";"Mix flour, cocoa powder, sugar, and eggs. Bake until a toothpick comes out clean. Frost with chocolate ganache if desired."
"Beef Empanadas";"Main Course";"Beef";"Latin American";"Baking";"30 minutes";"20 minutes";"Fill pastry dough with a mixture of seasoned ground beef, onions, and spices. Fold into half-moons and bake until golden brown."
"Chocolate Chip Cookies";"Dessert";"Chocolate Chips";"American";"Baking";"10 minutes";"15 minutes";"Mix flour, sugar, and butter with chocolate chips. Bake until edges are golden and centers are soft."
"Chicken Pot Pie";"Main Course";"Chicken";"American";"Baking";"20 minutes";"40 minutes";"Fill a pie crust with a mixture of chicken, vegetables, and gravy. Bake until crust is golden and filling is bubbly."
"Potato Gratin";"Side Dish";"Potatoes";"French";"Baking";"20 minutes";"50 minutes";"Layer thinly sliced potatoes with cream, cheese, and garlic. Bake until tender and golden brown on top."
"Beef Stroganoff";"Main Course";"Beef";"Russian";"Simmering";"20 minutes";"30 minutes";"Cook beef with onions, garlic, and mushrooms in a creamy sauce made from sour cream and beef broth. Serve over egg noodles."
"Chocolate Cake";"Dessert";"Chocolate";"American";"Baking";"20 minutes";"30 minutes";"Mix flour, cocoa powder, sugar, and eggs. Bake until a toothpick comes out clean. Frost with chocolate ganache if desired."
"Chicken Caesar Salad";"Appetizer";"Chicken";"American";"Assembling";"10 minutes";"0 minutes";"Toss romaine lettuce with Caesar dressing, croutons, and grilled chicken. Top with Parmesan cheese."
"Chicken Pot Pie";"Main Course";"Chicken";"American";"Baking";"20 minutes";"40 minutes";"Fill a pie crust with a mixture of chicken, vegetables, and gravy. Bake until crust is golden and filling is bubbly."
"Vegetable Stir-Fry";"Main Course";"Vegetables";"Chinese";"Stir-Frying";"10 minutes";"10 minutes";"Stir-fry a mix of vegetables (bell peppers, carrots, snow peas) in a hot pan with soy sauce and garlic. Serve over rice or noodles."
"Beef Tacos";"Main Course";"Beef";"Mexican";"Grilling";"15 minutes";"10 minutes";"Grill seasoned ground beef and serve in tortillas with salsa, cheese, and lettuce. Garnish with cilantro."
"Chicken Tortilla Soup";"Appetizer";"Chicken";"Mexican";"Simmering";"10 minutes";"30 minutes";"Cook chicken with tomatoes, beans, and spices. Top with tortilla strips and garnish with cilantro and lime."
"Vegetable Lasagna";"Main Course";"Vegetables";"Italian";"Baking";"30 minutes";"50 minutes";"Layer lasagna noodles with a mixture of ricotta cheese, spinach, and marinara sauce. Top with mozzarella cheese and bake until bubbly."
"Chicken Caesar Salad";"Appetizer";"Chicken";"American";"Assembling";"10 minutes";"0 minutes";"Toss romaine lettuce with Caesar dressing, croutons, and grilled chicken. Top with Parmesan cheese."
"Beef Empanadas";"Main Course";"Beef";"Latin American";"Baking";"30 minutes";"20 minutes";"Fill pastry dough with a mixture of seasoned ground beef, onions, and spices. Fold into half-moons and bake until golden brown."
"Vegetable Lasagna";"Main Course";"Vegetables";"Italian";"Baking";"30 minutes";"50 minutes";"Layer lasagna noodles with a mixture of ricotta cheese, spinach, and marinara sauce. Top with mozzarella cheese and bake until bubbly."
"Beef Chili";"Main Course";"Beef";"American";"Simmering";"15 minutes";"45 minutes";"Cook ground beef with onions, tomatoes, and chili spices. Simmer until thickened. Serve with cornbread or rice."
"Vegetarian Chili";"Main Course";"Beans";"American";"Simmering";"15 minutes";"30 minutes";"Cook a mix of beans with tomatoes, bell peppers, onions, and chili spices. Simmer until flavors are blended. Serve with cornbread."
"Chicken Pot Pie";"Main Course";"Chicken";"American";"Baking";"20 minutes";"40 minutes";"Fill a pie crust with a mixture of chicken, vegetables, and gravy. Bake until crust is golden and filling is bubbly."
"Sweet Potato Fries";"Side Dish";"Sweet Potatoes";"American";"Baking";"10 minutes";"30 minutes";"Cut sweet potatoes into fries and toss with olive oil and seasonings. Bake until crispy and golden."
"Vegetable Lasagna";"Main Course";"Vegetables";"Italian";"Baking";"30 minutes";"50 minutes";"Layer lasagna noodles with a mixture of ricotta cheese, spinach, and marinara sauce. Top with mozzarella cheese and bake until bubbly."
